uniprot,ena,,
A0A023NL99,AHX03094.1,,
A0A026VYB5,EZA48757.1,,
A0A026W5G4,EZA50856.1,,
A0A060VWK1,CDQ57359.1,,
A0A060VWM8,CDQ57399.1,,
A0A060VY29,CDQ57909.1,,
A0A060W3V1,CDQ61706.1,,
A0A060W3X2,CDQ59230.1,,
A0A060X5H2,CDQ74691.1,,
A0A060XTI4,CDQ82607.1,,
A0A060Y284,CDQ86038.1,,
A0A067R7A8,KDR15374.1,,
A0A085NDB3,KFD58330.1,,
A0A085NDB3,KFD67459.1,,
A0A085NKE7,KFD69943.1,,
A0A085NPG5,KFD52024.1,,
A0A085NPG5,KFD71361.1,,
A0A085NR25,KFD50991.1,,
A0A085NR25,KFD71921.1,,
A0A087QMY0,KFM02584.1,,
A0A087V8S2,KFO09014.1,,
A0A087VAQ0,KFO09692.1,,
A0A090A0L2,BAP47447.1,,
A0A091CPA5,KFO19887.1,,
A0A091CV15,KFO22357.1,,
A0A091DUK8,KFO33975.1,,
A0A091EAW0,KFO53569.1,,
A0A091F4P1,KFO63524.1,,
A0A091F7C7,KFO64762.1,,
A0A091G995,KFO78528.1,,
A0A091GMG9,KFO75277.1,,
A0A091GNV4,KFO82839.1,,
A0A091HJU9,KFO96141.1,,
A0A091HRY3,KFO90053.1,,
A0A091I9T0,KFP04135.1,,
A0A091IAF4,KFP04418.1,,
A0A091JMB2,KFP22139.1,,
A0A091JV76,KFP28625.1,,
A0A091KZN2,KFP45522.1,,
A0A091LB37,KFP52533.1,,
A0A091MC24,KFP68139.1,,
A0A091NDQ1,KFP87172.1,,
A0A091P7K1,KFQ03595.1,,
A0A091QH89,KFQ25597.1,,
A0A091R4D0,KFQ34673.1,,
A0A091RL94,KFQ39744.1,,
A0A091RQP0,KFQ30782.1,,
A0A091SC94,KFQ55705.1,,
A0A091U369,KFQ84300.1,,
A0A091UNZ2,KFQ92684.1,,
A0A091UUK2,KFQ81333.1,,
A0A091VRK0,KFR06002.1,,
A0A091VS97,KFR06084.1,,
A0A093BGI5,KFU93984.1,,
A0A093CHN0,KFV15360.1,,
A0A093CTZ3,KFV19340.1,,
A0A093FMV1,KFV55636.1,,
A0A093G6I9,KFV62384.1,,
A0A093GEI4,KFV65209.1,,
A0A093GFW3,KFV68098.1,,
A0A093HNU3,KFV81135.1,,
A0A093I6Q3,KFV97312.1,,
A0A093IJ34,KFW02740.1,,
A0A093IQP7,KFW01054.1,,
A0A093JIW4,KFV78729.1,,
A0A093NF54,KFW62791.1,,
A0A093NWJ4,KFW66355.1,,
A0A093PFX9,KFW71112.1,,
A0A093PXW4,KFW81246.1,,
A0A093Q0U8,KFW82276.1,,
A0A093RAH8,KFW68019.1,,
A0A093S3K2,KFW77534.1,,
A0A094KKV4,KFZ49787.1,,
A0A099YQD1,KGL72489.1,,
A0A099ZIH4,KGL82199.1,,
A0A0A0A4Y0,KGL89669.1,,
A0A0A0A9V9,KGL91349.1,,
A0A0A0P0D8,AGU13045.1,,
A0A0A0QYW7,AIU94612.1,,
A0A0A8K836,BAQ19105.1,,
A0A0B2W4V6,KHN88270.1,,
A0A0B6VNG0,BAQ19202.1,,
A0A0C9QPM4,JAG72399.1,,
A0A0F8AXZ3,KAE8279949.1,,
A0A0F8CES2,KAE8296998.1,,
A0A0G3Y5I8,AKM21237.1,,
A0A0J7L3R0,KMQ97218.1,,
A0A0K8VHN1,JAI38368.1,,
A0A0L0CIU4,KNC32180.1,,
A0A0L7RB52,KOC68094.1,,
